Année,Vainqueur,Nationalité first,Deuxième,Nationalité second,Troisième,Nationalité third
1903,Maurice Garin,fr,Lucien Pothier,,Fernand Augereau,
1904,Henri Cornet [Note 5],fr,Jean-Baptiste Dortignacq,,Aloïs Catteau,
1905,Louis Trousselier,fr,Hippolyte Aucouturier,,Jean-Baptiste Dortignacq,
1906,René Pottier,fr,Georges Passerieu,,Louis Trousselier,
1907,Lucien Petit-Breton,fr,Gustave Garrigou,,Émile Georget,
1908,Lucien Petit-Breton,fr,François Faber,,Georges Passerieu,
1909,François Faber,lu,Gustave Garrigou,,Jean Alavoine,
1910,Octave Lapize,fr,François Faber,,Gustave Garrigou,
1911,Gustave Garrigou,fr,Paul Duboc,,Émile Georget,
1912,Odile Defraye,be,Eugène Christophe,,Gustave Garrigou,
1913,Philippe Thys,be,Gustave Garrigou,,Marcel Buysse,
1914,Philippe Thys,be,Henri Pélissier,,Jean Alavoine,
1919,Firmin Lambot,be,Jean Alavoine,,Eugène Christophe,
1920,Philippe Thys,be,Hector Heusghem,,Firmin Lambot,
1921,Léon Scieur,be,Hector Heusghem,,Honoré Barthélémy,
1922,Firmin Lambot,be,Jean Alavoine,,Félix Sellier,
1923,Henri Pélissier,be,Ottavio Bottecchia,,Romain Bellenger,
1924,Ottavio Bottecchia,it,Nicolas Frantz,,Lucien Buysse,
1925,Ottavio Bottecchia,it,Lucien Buysse,,Bartolomeo Aimo,
1926,Lucien Buysse,be,Nicolas Frantz,,Bartolomeo Aimo,
1927,Nicolas Frantz,lu,Maurice De Waele,,Julien Vervaecke,
1928,Nicolas Frantz,lu,André Leducq,,Maurice De Waele,
1929,Maurice De Waele,be,Giuseppe Pancera,,Jef Demuysere,
1930,André Leducq,fr,Learco Guerra,,Antonin Magne,
1931,Antonin Magne,fr,Jef Demuysere,,Antonio Pesenti,
1932,André Leducq,fr,Kurt Stöpel,,Francesco Camusso,
1933,Georges Speicher,fr,Learco Guerra,,Giuseppe Martano,
1934,Antonin Magne,fr,Giuseppe Martano,,Roger Lapébie,
1935,Romain Maes,be,Ambrogio Morelli,,Félicien Vervaecke,
1936,Sylvère Maes,be,Antonin Magne,,Félicien Vervaecke,
1937,Roger Lapébie,fr,Mario Vicini,,Léo Amberg,
1938,Gino Bartali,it,Félicien Vervaecke,,Victor Cosson,
1939,Sylvère Maes,be,René Vietto,,Lucien Vlaemynck,
1947,Jean Robic,fr,Édouard Fachleitner,,Pierre Brambilla,
1948,Gino Bartali,it,Albéric Schotte,,Guy Lapébie,
1949,Fausto Coppi,it,Gino Bartali,,Jacques Marinelli,
1950,Ferdi Kübler,ch,Stan Ockers,,Louison Bobet,
1951,Hugo Koblet,ch,Raphaël Géminiani,,Lucien Lazaridès,
1952,Fausto Coppi,it,Stan Ockers,,Bernardo Ruiz,
1953,Louison Bobet,fr,Jean Malléjac,,Giancarlo Astrua,
1954,Louison Bobet,fr,Ferdi Kübler,,Fritz Schaer,
1955,Louison Bobet,fr,Jean Brankart,,Charly Gaul,
1956,Roger Walkowiak,fr,Gilbert Bauvin,,Jan Adriaensens,
1957,Jacques Anquetil,fr,Marcel Janssens,,Adolf Christian,
1958,Charly Gaul,lu,Vito Favero,,Raphaël Géminiani,
1959,Federico Bahamontes,es,Henry Anglade,,Jacques Anquetil,
1960,Gastone Nencini,fr,Graziano Battistini,,Jan Adriaensens,
1961,Jacques Anquetil,fr,Guido Carlesi,,Charly Gaul,
1962,Jacques Anquetil,fr,Joseph Planckaert,,Raymond Poulidor,
1963,Jacques Anquetil,fr,Federico Bahamontes,,José Pérez Francés,
1964,Jacques Anquetil,fr,Raymond Poulidor,,Federico Bahamontes,
1965,Felice Gimondi,it,Raymond Poulidor,,Gianni Motta,
1966,Lucien Aimar,fr,Jan Janssen,,Raymond Poulidor,
1967,Roger Pingeon,fr,Julio Jiménez,,Franco Balmamion,
