"Victoires","Equipe","Nationalité"
"12","Équipe de France","France"
"9","Peugeot","France"
"7","Alcyon","France"
"6","Renault-Gitane","France"
"5","Banesto","Espagne"
"5","Équipe d'Italie","Italie"
"4","Automoto","France"
"3","Molteni","Italie"
"3","La Sportive","France"
"3","Équipe de Belgique","Belgique"
"3","St-Raphaël","France"
"3","Sky","Royaume-Uni"
"2","Faema","Belgique"
"2","La Vie claire","France"
"2","Deutsche Telekom","Allemagne"
"2","Équipe de Suisse","Suisse"
"2","CSC-Saxo Bank/Saxo Bank","Danemark"
"2","Astana","Kazakhstan"
"1","BMC Racing","États-Unis"
"1","Discovery Channel","États-Unis"
"1","Gitane","France"
"1","Caisse d'Epargne","Espagne"
"1","Mercatone Uno","Italie"
"1","Z","France"
"1","ADR","Belgique"
"1","Reynolds","Espagne"
"1","Carrera","Italie"
"1","Raleigh","Pays-Bas"
"1","La Française","France"
"1","Ouest","France"
"1","Nord-Est","France"
"1","Équipe Pays-Bas-Luxembourg","Pays-Bas -  Luxembourg"
"1","Équipe d'Espagne","Espagne"
"1","Salvarani","Italie"
"1","Ford","France"
"1","Équipe des Pays-Bas","Pays-Bas"
"1","Bic","France"
