"Année / Édition","Vainqueur","Équipe du vainqueur","Étapes","Distance (en km)","Vitesse moyenne","Grand Prix de la montagne","Par points","Meilleur jeune"
"1903 (1re)","Maurice Garin","La Française","6","2 428","25,679","","",""
"1904 (2e)","Henri Cornet","Cycles Le Globe","6","2 428","25,265","","",""
"1905 (3e)","Louis Trousselier","Peugeot","11","2 994","27,107","","",""
"1906 (4e)","René Pottier","Peugeot","13","4 637","24,463","","",""
"1907 (5e)","Lucien Petit-Breton","Peugeot","14","4 488","28,470","","",""
"1908 (6e)","Lucien Petit-Breton","Peugeot","14","4 488","28,740","","",""
"1909 (7e)","François Faber","Alcyon","14","4 497","28,658","","",""
"1910 (8e)","Octave Lapize","Alcyon","15","4 734","29,099","","",""
"1911 (9e)","Gustave Garrigou","Alcyon","15","5 343","27,322","","",""
"1912 (10e)","Odile Defraye","Alcyon","15","5 289","27,763","","",""
"1913 (11e)","Philippe Thys","Peugeot","15","5 287","26,715","","",""
"1914 (12e)","Philippe Thys","Peugeot","15","5 380","26,835","","",""
"1919 (13e)","Firmin Lambot","La Sportive","15","5 560","24,056","","",""
"1920 (14e)","Philippe Thys","La Sportive","15","5 503","24,072","","",""
"1921 (15e)","Léon Scieur","La Sportive","15","5 485","24,724","","",""
"1922 (16e)","Firmin Lambot","Peugeot","15","5 375","24,196","","",""
"1923 (17e)","Henri Pélissier","Automoto","15","5 386","24,233","","",""
"1924 (18e)","Ottavio Bottecchia","Automoto","15","5 425","24,250","","",""
"1925 (19e)","Ottavio Bottecchia","Automoto","15","5 440","24,820","","",""
"1926 (20e)","Lucien Buysse","Automoto","17","5 745","24,273","","",""
"1927 (21e)","Nicolas Frantz","Alcyon","24","5 398","27,224","","",""
"1928 (22e)","Nicolas Frantz","Alcyon","22","5 376","28,400","","",""
"1929 (23e)","Maurice De Waele","Alcyon","22","5 286","28,319","","",""
"1930 (24e)","André Leducq","France","21","4 822","28,000","","",""
"1931 (25e)","Antonin Magne","France","24","5 091","28,735","","",""
"1932 (26e)","André Leducq","France","21","4 479","29,047","","",""
"1933 (27e)","Georges Speicher","France","23","4 395","29,818","Vicente Trueba","",""
