Année / Édition,year,Vainqueur,nat,Équipe du vainqueur,Étapes,Distance (en km),Vitesse moyenne,Grand Prix de la montagne,Par points,Meilleur jeune
1903 (1re),1903,Maurice Garin,fr,La Française,6,2428,"25,679",,,
1904 (2e),1904,Henri Cornet,fr,Cycles Le Globe,6,2428,"25,265",,,
1905 (3e),1905,Louis Trousselier,fr,Peugeot,11,2994,"27,107",,,
1906 (4e),1906,René Pottier,fr,Peugeot,13,4637,"24,463",,,
1907 (5e),1907,Lucien Petit-Breton,fr,Peugeot,14,4488,"28,47",,,
1908 (6e),1908,Lucien Petit-Breton,fr,Peugeot,14,4488,"28,74",,,
1909 (7e),1909,François Faber,lu,Alcyon,14,4497,"28,658",,,
1910 (8e),1910,Octave Lapize,fr,Alcyon,15,4734,"29,099",,,
1911 (9e),1911,Gustave Garrigou,fr,Alcyon,15,5343,"27,322",,,
1912 (10e),1912,Odile Defraye,be,Alcyon,15,5289,"27,763",,,
1913 (11e),1913,Philippe Thys,be,Peugeot,15,5287,"26,715",,,
1914 (12e),1914,Philippe Thys,be,Peugeot,15,5380,"26,835",,,
1919 (13e),1919,Firmin Lambot,be,La Sportive,15,5560,"24,056",,,
1920 (14e),1920,Philippe Thys,be,La Sportive,15,5503,"24,072",,,
1921 (15e),1921,Léon Scieur,be,La Sportive,15,5485,"24,724",,,
1922 (16e),1922,Firmin Lambot,be,Peugeot,15,5375,"24,196",,,
1923 (17e),1923,Henri Pélissier,be,Automoto,15,5386,"24,233",,,
1924 (18e),1924,Ottavio Bottecchia,it,Automoto,15,5425,"24,25",,,
1925 (19e),1925,Ottavio Bottecchia,it,Automoto,15,5440,"24,82",,,
1926 (20e),1926,Lucien Buysse,be,Automoto,17,5745,"24,273",,,
1927 (21e),1927,Nicolas Frantz,lu,Alcyon,24,5398,"27,224",,,
1928 (22e),1928,Nicolas Frantz,lu,Alcyon,22,5376,"28,4",,,
1929 (23e),1929,Maurice De Waele,be,Alcyon,22,5286,"28,319",,,
1930 (24e),1930,André Leducq,fr,France,21,4822,28,,,
1931 (25e),1931,Antonin Magne,fr,France,24,5091,"28,735",,,
1932 (26e),1932,André Leducq,fr,France,21,4479,"29,047",,,
1933 (27e),1933,Georges Speicher,fr,France,23,4395,"29,818",Vicente Trueba,,
1934 (28e),1934,Antonin Magne,fr,France,23,4470,"30,36",René Vietto,,
1935 (29e),1935,Romain Maes,be,Belgique,21,4338,"30,65",Félicien Vervaecke,,
1936 (30e),1936,Sylvère Maes,be,Belgique,21,4442,"31,108",Julián Berrendero,,
1937 (31e),1937,Roger Lapébie,fr,France,20,4415,"31,768",Félicien Vervaecke,,
1938 (32e),1938,Gino Bartali,it,Italie,21,4694,"31,565",Gino Bartali,,
1939 (33e),1939,Sylvère Maes,be,Belgique,18,4224,"31,986",Sylvère Maes,,
1947 (34e),1947,Jean Robic,fr,Ouest,21,4642,"31,412",Pierre Brambilla,,
1948 (35e),1948,Gino Bartali,it,Italie,21,4922,"33,442",Gino Bartali,,
1949 (36e),1949,Fausto Coppi,it,Italie,21,4808,"32,121",Fausto Coppi,,
1950 (37e),1950,Ferdi Kübler,ch,Suisse,22,4773,"32,778",Louison Bobet,,
1951 (38e),1951,Hugo Koblet,ch,Suisse,24,4690,"32,949",Raphaël Géminiani,,
1952 (39e),1952,Fausto Coppi,it,Italie,23,4898,"32,233",Fausto Coppi,,
1953 (40e),1953,Louison Bobet,fr,France,22,4476,"34,593",Jesús Loroño,Fritz Schaer,
1954 (41e),1954,Louison Bobet,fr,France,23,4656,"33,229",Federico Bahamontes,Ferdi Kübler,
1955 (42e),1955,Louison Bobet,fr,France,22,4495,"34,446",Charly Gaul,Stan Ockers,
1956 (43e),1956,Roger Walkowiak,fr,Nord-Est,22,4498,"36,268",Charly Gaul,Stan Ockers,
1957 (44e),1957,Jacques Anquetil,fr,France,23,4669,"34,52",Gastone Nencini,Jean Forestier,
1958 (45e),1958,Charly Gaul,lu,Mixte,24,4319,"36,919",Federico Bahamontes,Jean Graczyk,
1959 (46e),1959,Federico Bahamontes,es,Espagne,22,4358,"35,474",Federico Bahamontes,André Darrigade,
1960 (47e),1960,Gastone Nencini,fr,Italie,21,4173,"37,21",Imerio Massignan,Jean Graczyk,
1961 (48e),1961,Jacques Anquetil,fr,France,21,4397,"36,033",Imerio Massignan,André Darrigade,
1962 (49e),1962,Jacques Anquetil,fr,St-Raphaël,22,4274,"37,317",Federico Bahamontes,Rudi Altig,
1963 (50e),1963,Jacques Anquetil,fr,St-Raphaël,21,4138,"37,092",Federico Bahamontes,Rik Van Looy,
1964 (51e),1964,Jacques Anquetil,fr,St-Raphaël,22,4504,"35,419",Federico Bahamontes,Jan Janssen,
1965 (52e),1965,Felice Gimondi,it,Salvarani,22,4188,"35,886",Julio Jiménez,Jan Janssen,
1966 (53e),1966,Lucien Aimar,fr,Ford France,22,4329,"36,76",Julio Jiménez,Willy Planckaert,
1967 (54e),1967,Roger Pingeon,fr,France,22,4779,"34,756",Julio Jiménez,Jan Janssen,
1968 (55e),1968,Jan Janssen,lu,Pays-Bas,22,4492,"33,556",Aurelio González,Franco Bitossi,
1969 (56e),1969,Eddy Merckx,be,Faema,22,4117,"35,409",Eddy Merckx,Eddy Merckx,
1970 (57e),1970,Eddy Merckx,be,Faema,22,4254,"35,589",Eddy Merckx,Walter Godefroot,
1971 (58e),1971,Eddy Merckx,be,Molteni,20,3608,"38,084",Lucien Van Impe,Eddy Merckx,
1972 (59e),1972,Eddy Merckx,be,Molteni,20,3846,"35,514",Lucien Van Impe,Eddy Merckx,
